"method","config","response","nrmse_mean","nrmse_std"
"BNTR","T16_n200","y1",0.584112419874657,0.207849237394335
"BNTR","T16_n200","y2",0.72031745259989,0.251412358000091
"BNTR","T16_n200","y3",0.413681637113585,0.0652357624941209
"BNTR","T16_n200","y4",0.641802856436119,0.184163247594968
"BNTR","T16_n200","y5",0.649483637475926,0.241854934931227
"BNTR","T16_n200","y6",0.482240430560808,0.114672180097068
"BNTR","T16_n400","y1",0.396435216614618,0.0734765334872523
"BNTR","T16_n400","y2",0.410254519104403,0.0944622886154435
"BNTR","T16_n400","y3",0.338018202688509,0.0159953175715357
"BNTR","T16_n400","y4",0.452584362932124,0.109586838015165
"BNTR","T16_n400","y5",0.437788836611409,0.126005706686891
"BNTR","T16_n400","y6",0.371881127558131,0.0365952102164485
