method,config,response,nrmse_mean,nrmse_std,f1_mean,f1_std,perfect_match,total_time_sec,first_run_time_sec,X1,X2,X3,X4,X5,X6
MFDNN,T16_n200,y1,0.35644722592984884,0.02778693381327028,1.0,0.0,50/50,94.714,1.89,50,50,0,0,0,0
MFDNN,T16_n200,y2,0.35933200458135167,0.02606300677107435,0.995,0.034999999999999996,49/50,92.804,1.663,1,50,0,1,50,50
MFDNN,T16_n200,y3,0.367195745687153,0.027543345717439036,0.9857777777777779,0.04944332083617201,46/50,91.867,1.827,50,4,50,50,3,50
MFDNN,T16_n200,y4,0.375542239908715,0.027668269819331234,0.986,0.0748598690888516,48/50,95.567,1.732,50,50,2,1,1,1
MFDNN,T16_n200,y5,0.3668504014272688,0.02868577315731034,0.9904761904761904,0.05039526306789697,48/50,93.546,1.651,1,50,2,1,50,50
MFDNN,T16_n200,y6,0.37413124274852805,0.026970346387223416,0.9891428571428571,0.0434774161408623,47/50,92.182,1.7,50,2,50,49,2,50
MFDNN,T16_n400,y1,0.3291036234501904,0.01960943942074371,1.0,0.0,50/50,108.33,2.096,50,50,0,0,0,0
MFDNN,T16_n400,y2,0.33645930195105295,0.017793383977357094,1.0,0.0,50/50,108.916,1.994,0,50,0,0,50,50
MFDNN,T16_n400,y3,0.3386206388460626,0.017299451863415975,0.992,0.03919183588453084,48/50,105.201,2.052,50,2,50,50,2,50
MFDNN,T16_n400,y4,0.34836911387649605,0.016926160813775796,1.0,0.0,50/50,110.892,2.041,50,50,0,0,0,0
MFDNN,T16_n400,y5,0.3471817348210283,0.015452978034279044,0.9866666666666667,0.06531972647421809,48/50,107.654,2.04,2,50,2,2,50,50
MFDNN,T16_n400,y6,0.34912069991086847,0.019649945636317823,0.9886984126984126,0.03967700278832249,46/50,105.195,2.103,50,3,50,49,1,50
MFDNN,T32_n200,y1,0.36393087927169204,0.027187438905787856,0.98,0.09797958971132714,48/50,128.517,2.868,50,50,2,2,2,2
MFDNN,T32_n200,y2,0.3646901737878084,0.026287978199136457,0.995,0.034999999999999996,49/50,127.064,3.145,1,50,0,1,50,50
MFDNN,T32_n200,y3,0.3822370710437746,0.040854731194234724,0.9915555555555556,0.03496453229371899,47/50,128.608,2.866,50,2,50,50,2,50
MFDNN,T32_n200,y4,0.37975219817610045,0.0296971778657299,0.99,0.06999999999999999,49/50,128.142,2.977,50,50,1,1,1,1
MFDNN,T32_n200,y5,0.36618178037951993,0.02359805370890137,1.0,0.0,50/50,126.568,3.042,0,50,0,0,50,50
MFDNN,T32_n200,y6,0.3821717497270797,0.04557756877441169,0.9942857142857143,0.027994168488950612,48/50,127.062,3.077,50,0,50,48,0,50
MFDNN,T32_n400,y1,0.3275913783229234,0.016586285264877175,1.0,0.0,50/50,159.259,3.3,50,50,0,0,0,0
MFDNN,T32_n400,y2,0.3351172152940841,0.015045510014667121,1.0,0.0,50/50,157.971,3.174,0,50,0,0,50,50
MFDNN,T32_n400,y3,0.3401523058447642,0.015924934868970675,1.0,0.0,50/50,157.442,3.238,50,0,50,50,0,50
MFDNN,T32_n400,y4,0.33745768666423137,0.01757614019378185,0.98,0.09797958971132714,48/50,159.226,3.227,50,50,2,2,2,2
MFDNN,T32_n400,y5,0.3342651476883576,0.016203280575910372,1.0,0.0,50/50,156.964,3.172,0,50,0,0,50,50
MFDNN,T32_n400,y6,0.34839198238256247,0.019440948467127458,0.9919999999999999,0.03919183588453084,48/50,157.428,3.127,50,2,50,50,2,50
